,filename,start_time,end_time,edge,meterID,processing_time,average_power_consumption,missing_data,raw_volume,lines_of_code,tool_changes,travels_to_zero_point_in_rapid_traverse,axes_rotation,weighted_rotational_speed,weighted_tool_diameter,weighted_cutting_length,weighted_number_of_cutting_edges,weighted_cutting_speed,weighted_feed_per_tooth,weighted_feed_rate
58,002-002-2SP-Delfine.h,1653383930,1653384330,1237,2,400,3431.1725,0.0,42000.0,790,3,17,9,4065.1686276101973,11.823376623376623,21.776623376623377,4.044155844155844,149.96103896103895,0.054008887130844445,901.125847325042
59,2584165-1SP-Delfine.h,1653465800,1653471900,1237,2,6100,3620.711677631579,10.0,13665960.0,26918,18,263,132,7774.267427514374,15.503059707041416,39.6207673432969,4.02977916573723,378.6596029444568,0.10986702009440837,3252.5244003373573
60,2584165-1SP-Delfine.h,1653472300,1653478300,1237,2,6000,3654.42474916388,10.0,13665960.0,26918,18,263,132,7774.267427514374,15.503059707041416,39.6207673432969,4.02977916573723,378.6596029444568,0.10986702009440837,3252.5244003373573
61,2584165-1SP-Delfine.h,1653478500,1653483700,1237,2,5200,3841.123745173745,10.0,13665960.0,26918,18,263,132,7774.267427514374,15.503059707041416,39.6207673432969,4.02977916573723,378.6596029444568,0.10986702009440837,3252.5244003373573
62,2584165-1SP-SP-Delfine.h,1653892000,1653897300,1237,2,5300,3605.2731919727375,9.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
63,2584165-1SP-SP-Delfine.h,1653897500,1653902650,1237,2,5150,3758.9005836575875,5.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
64,2584165-1SP-SP-Delfine.h,1653902850,1653908100,1237,2,5250,3734.7336520076483,10.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
65,2584165-1SP-SP-Delfine.h,1653908250,1653913400,1237,2,5150,3698.4310479158553,8.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
66,2584165-1SP-SP-Delfine.h,1654062350,1654067550,1237,2,5200,3552.3233706131896,7.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
67,2584165-1SP-SP-Delfine.h,1654067700,1654073000,1237,2,5300,3527.551325757576,10.0,13665960.0,27591,18,263,132,7779.717345018284,15.515189873417722,39.727663124297266,4.029052265061115,379.229335171013,0.10883693397045434,3225.970492838984
